CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
-32,41,51,0,24,-53,-67,-65
-16,-44,-49,39,17,-7,-54,-40
20,-47,56,56,-35,29,-46,-80
-61,75,0,44,57,49,7,-66
42,24,-48,-20,-75,-12,-70,-15
65,-13,-5,-73,17,-63,50,57
-71,-73,47,29,14,66,-55,16
-75,-23,20,-59,-76,50,-76,-12
24,4,5,1,-56,61,38,36
-34,15,-50,74,41,44,44,-28
-24,-12,26,6,-68,39,50,-2
31,47,-8,-50,-46,49,38,43
30,-19,12,-59,45,33,-49,42
49,-43,1,26,70,14,-29,25
-25,17,34,-32,-31,48,-5,5
13,10,-9,74,79,-30,-9,-49
-45,-45,-73,-11,-43,-64,-31,-22
-12,-23,2,-59,-4,-23,-44,-8
-31,-67,-1,30,44,41,-47,1
46,41,70,-15,-44,-32,-21,-47
-54,-33,-54,-37,64,63,-53,20
-17,63,-25,-72,10,49,25,-75
61,-37,40,-7,-58,62,-12,-65
-36,29,13,9,64,-12,-55,-43
-60,-26,-33,-18,37,74,36,-72
76,72,-16,-39,74,-75,76,7
-74,35,-73,26,25,68,-58,15
8,41,-31,37,78,52,-48,8
46,-80,-15,36,-50,-22,46,17
-45,69,-32,-57,-80,73,35,59
60,-74,-29,-35,-55,30,-10,-31
46,6,-33,-13,57,69,23,1
-31,64,71,34,-27,28,-48,6
18,72,59,40,12,-77,-45,56
-59,-65,-75,20,-23,-3,-16,-17
59,-52,30,54,-37,15,-71,30
-57,-2,-8,-61,77,-34,60,38
-74,50,18,47,-57,-31,-79,76
46,40,45,37,-55,54,60,16
46,4,-59,76,48,-67,-21,-58
-22,74,26,-8,-41,-15,-8,58
-39,55,54,20,-17,-26,-7,59
74,-64,10,24,-28,41,-66,7
23,12,21,76,-33,15,-51,-9
58,55,-80,-49,35,-52,1,50
-45,47,-71,-56,-74,-21,-72,1
-31,11,-20,-66,8,-50,-61,24
-75,-61,48,-33,-44,-48,32,-74
-52,-1,8,43,-25,2,-27,-69
-37,64,67,57,12,-58,77,-45
0,-8,7,9,-63,-49,-14,-70
